Generator,Technology,Rated Apparent Power,Parallel Machines,
Moneypoint,Coal,339 MVA,3,
Ardnacrusha,Hydro,96 MVA,1,
Load Bus,S [MVA],P [MW],Q [MVAr],
Limerick R,63.47,57.12,12.63,
Limerick I,24.98,24.48,4.97,
Total,88.45,81.60,17.60,
Galway R,53.51,48.16,10.65,
Galway I,14.74,14.45,2.93,
Total,68.25,62.61,13.58,
Line,Voltage,Route,Length,
,400kV,Moneypoint-Oldstreet,140km,
,132kV,Moneypoint-Limerick,80km,
,132kV,Moneypoint-Galway,120km,
,132kV,Ardnacrusha-Limerick,15km,
,132kV,Ardnacrusha-Oldstreet,70km,
,132kV,Oldstreet-Galway,60km,
